Point_ID,Delta_X,Delta_Y,Delta_Z
0,50.0,0.0,0.0
1,49.573,6.526,0.0
2,48.296,12.941,0.0
3,46.194,19.135,0.0
4,43.301,25.0,0.0
5,39.668,30.438,0.0
6,35.355,35.355,0.0
7,30.438,39.668,0.0
8,25.0,43.301,0.0
9,19.135,46.194,0.0
10,12.941,48.296,0.0
11,6.526,49.573,0.0
12,0.0,50.0,0.0
13,-6.526,49.573,0.0
14,-12.941,48.296,0.0
15,-19.135,46.194,0.0
16,-25.0,43.301,0.0
17,-30.438,39.668,0.0
18,-35.355,35.355,0.0
19,-39.668,30.438,0.0
20,-43.301,25.0,0.0
21,-46.194,19.135,0.0
22,-48.296,12.941,0.0
23,-49.573,6.526,0.0
24,-50.0,0.0,0.0
25,-49.573,-6.526,0.0
26,-48.296,-12.941,0.0
27,-46.194,-19.135,0.0
28,-43.301,-25.0,0.0
29,-39.668,-30.438,0.0
30,-35.355,-35.355,0.0
31,-30.438,-39.668,0.0
32,-25.0,-43.301,0.0
33,-19.135,-46.194,0.0
34,-12.941,-48.296,0.0
35,-6.526,-49.573,0.0
36,0.0,-50.0,0.0
37,6.526,-49.573,0.0
38,12.941,-48.296,0.0
39,19.135,-46.194,0.0
40,25.0,-43.301,0.0
41,30.438,-39.668,0.0
42,35.355,-35.355,0.0
43,39.668,-30.438,0.0
44,43.301,-25.0,0.0
45,46.194,-19.135,0.0
46,48.296,-12.941,0.0
47,49.573,-6.526,0.0
