Point_ID,Angle_deg,X,Y,Z,A,B,C
0,0.0,900.0,0.0,650.0,0,90,0
1,7.5,898.717,19.579,650.0,0,90,0
2,15.0,894.889,38.823,650.0,0,90,0
3,22.5,888.582,57.403,650.0,0,90,0
4,30.0,879.904,75.0,650.0,0,90,0
5,37.5,869.003,91.314,650.0,0,90,0
6,45.0,856.066,106.066,650.0,0,90,0
7,52.5,841.314,119.003,650.0,0,90,0
8,60.0,825.0,129.904,650.0,0,90,0
9,67.5,807.403,138.582,650.0,0,90,0
10,75.0,788.823,144.889,650.0,0,90,0
11,82.5,769.579,148.717,650.0,0,90,0
12,90.0,750.0,150.0,650.0,0,90,0
13,97.5,730.421,148.717,650.0,0,90,0
14,105.0,711.177,144.889,650.0,0,90,0
15,112.5,692.597,138.582,650.0,0,90,0
16,120.0,675.0,129.904,650.0,0,90,0
17,127.5,658.686,119.003,650.0,0,90,0
18,135.0,643.934,106.066,650.0,0,90,0
19,142.5,630.997,91.314,650.0,0,90,0
20,150.0,620.096,75.0,650.0,0,90,0
21,157.5,611.418,57.403,650.0,0,90,0
22,165.0,605.111,38.823,650.0,0,90,0
23,172.5,601.283,19.579,650.0,0,90,0
24,180.0,600.0,0.0,650.0,0,90,0
25,187.5,601.283,-19.579,650.0,0,90,0
26,195.0,605.111,-38.823,650.0,0,90,0
27,202.5,611.418,-57.403,650.0,0,90,0
28,210.0,620.096,-75.0,650.0,0,90,0
29,217.5,630.997,-91.314,650.0,0,90,0
30,225.0,643.934,-106.066,650.0,0,90,0
31,232.5,658.686,-119.003,650.0,0,90,0
32,240.0,675.0,-129.904,650.0,0,90,0
33,247.5,692.597,-138.582,650.0,0,90,0
34,255.0,711.177,-144.889,650.0,0,90,0
35,262.5,730.421,-148.717,650.0,0,90,0
36,270.0,750.0,-150.0,650.0,0,90,0
37,277.5,769.579,-148.717,650.0,0,90,0
38,285.0,788.823,-144.889,650.0,0,90,0
39,292.5,807.403,-138.582,650.0,0,90,0
40,300.0,825.0,-129.904,650.0,0,90,0
41,307.5,841.314,-119.003,650.0,0,90,0
42,315.0,856.066,-106.066,650.0,0,90,0
43,322.5,869.003,-91.314,650.0,0,90,0
44,330.0,879.904,-75.0,650.0,0,90,0
45,337.5,888.582,-57.403,650.0,0,90,0
46,345.0,894.889,-38.823,650.0,0,90,0
47,352.5,898.717,-19.579,650.0,0,90,0
