pc_timestamp_s,ipoc,override,vel_act,rpm_ext,robot_x_mm,robot_y_mm,robot_z_mm,robot_a_deg,robot_b_deg,robot_c_deg,aruco_timestamp_s,camera_lag_ms,visible_count,visible_ids,m0_rvec_x,m0_rvec_y,m0_rvec_z,m0_tvec_x_m,m0_tvec_y_m,m0_tvec_z_m,m1_rvec_x,m1_rvec_y,m1_rvec_z,m1_tvec_x_m,m1_tvec_y_m,m1_tvec_z_m,m2_rvec_x,m2_rvec_y,m2_rvec_z,m2_tvec_x_m,m2_tvec_y_m,m2_tvec_z_m,m3_rvec_x,m3_rvec_y,m3_rvec_z,m3_tvec_x_m,m3_tvec_y_m,m3_tvec_z_m,m4_rvec_x,m4_rvec_y,m4_rvec_z,m4_tvec_x_m,m4_tvec_y_m,m4_tvec_z_m
1771278159.1038697,182407,10,0,0,860.0,40.0,470.0,0.0,90.0,0.0,1771278159.0973856,6.484031677246094,1,0,2.1269008466936707,1.948279594682352,-0.3299313069029339,-0.49210195370121196,-0.5370497720182328,1.8344584258492946,,,,,,,,,,,,,,,,,,,,,,,,
1771278166.147479,189451,10,0,0,860.0,40.0,440.0,0.0,90.0,0.0,1771278166.1397724,7.706642150878906,1,0,2.0904424912632704,2.1526063211526143,-0.4164654245344999,0.6569167633708246,-0.5101822087586763,1.7892743233467385,,,,,,,,,,,,,,,,,,,,,,,,
1771278173.9554088,197259,10,0,0,860.0,40.0,440.0,-180.0,80.0,-180.0,1771278173.953415,1.9938945770263672,1,0,2.138323360623546,2.1244443441226526,-0.24043439536538133,0.6510396836325427,-0.5896605479086056,1.7795447088290972,,,,,,,,,,,,,,,,,,,,,,,,
1771278181.9624038,205259,10,0,0,860.0,40.0,440.0,0.0,86.7,0.0,1771278181.9362683,26.13544464111328,1,0,-1.835691382469888,-1.956468620925605,-1.2794762738537162,-0.4789075575937477,-0.4854967761900016,1.7981174077988376,,,,,,,,,,,,,,,,,,,,,,,,
1771278184.5633035,207867,10,0,0,860.0,40.0,440.0,0.0,80.6,0.0,1771278184.539054,24.249553680419922,1,0,2.1956407893624714,2.115337313492989,-0.1592309589799422,-0.5060857849339797,-0.45880185166877263,1.8976967011646824,,,,,,,,,,,,,,,,,,,,,,,,
1771278187.1669605,210471,10,0,0,860.0,40.0,440.0,0.0,80.0,0.0,1771278187.1402018,26.758670806884766,1,0,-2.0277046925286997,-2.025992688027758,-1.2589130573505392,-0.5077998206978624,-0.4538509687152114,1.9028665766743178,,,,,,,,,,,,,,,,,,,,,,,,
1771278189.7670553,213071,10,0,0,860.0,40.0,440.0,0.0,80.5,0.0,1771278189.7485573,18.497943878173828,1,0,-1.673473450355363,-1.5453709020681952,-0.05185125777641899,0.699305373503152,-0.45857291125695576,1.895574739238127,,,,,,,,,,,,,,,,,,,,,,,,
1771278192.3673258,215671,10,0,0,860.0,40.0,440.0,0.0,86.5,0.0,1771278192.3526597,14.666080474853516,1,0,2.1988698300049867,2.072539952364448,-0.18806910429405835,0.7005350112653083,-0.5100874108641694,1.9011599442147589,,,,,,,,,,,,,,,,,,,,,,,,
1771278207.8061876,231111,10,0,0,860.0,40.0,440.0,0.0,86.0,0.0,1771278207.7729132,33.27441215515137,1,0,-1.8658889253718005,-1.9113715586067859,-1.2715815626911005,-0.49836278722900546,-0.4983443542641013,1.8711219710515985,,,,,,,,,,,,,,,,,,,,,,,,
1771278210.4069946,233711,10,0,0,860.0,40.0,440.0,0.0,77.7,0.0,1771278210.382085,24.909496307373047,1,0,-1.7360197398889934,-1.502912635403397,-0.017830122029586087,0.7110368778779736,-0.444816125318493,1.9287274867003665,,,,,,,,,,,,,,,,,,,,,,,,
1771278213.0101998,236315,10,0,0,860.0,40.0,440.0,0.0,76.0,0.0,1771278212.9829168,27.2829532623291,1,0,-1.726402985065426,-1.5551947961997974,0.09008952350971425,0.7190614587545268,-0.43366947610223205,1.9491286086840276,,,,,,,,,,,,,,,,,,,,,,,,
1771278215.610344,238915,10,0,0,860.0,40.0,440.0,0.0,76.0,0.0,1771278215.5897336,20.610332489013672,1,0,2.1530303138672577,2.07356127770983,-0.10896982551735851,-0.5141659794841543,-0.42614071949831195,1.928077050699131,,,,,,,,,,,,,,,,,,,,,,,,
1771278218.2144768,241519,10,0,0,860.0,40.0,440.0,2.6,79.9,3.7,1771278218.1909888,23.48804473876953,1,0,-1.6882494657633396,-1.4915103836805272,0.03628244092244074,0.709384864980653,-0.45528211158470083,1.9026002080204942,,,,,,,,,,,,,,,,,,,,,,,,
1771278220.8178105,244123,30,0,0,860.0,40.0,440.0,162.0,82.0,168.0,1771278220.8128176,4.992961883544922,1,0,-1.740217432095898,-1.6807762942112663,-1.344411952579885,-0.41927583874850055,-0.5453133834425351,1.6963445408641986,,,,,,,,,,,,,,,,,,,,,,,,
1771278223.417829,246723,30,0,0,860.0,40.0,440.0,162.0,82.0,168.0,1771278223.4060247,11.804342269897461,1,0,-1.7908870813773008,-1.7665025413282391,-1.2955417818054256,-0.4277079717859894,-0.5568766091597221,1.7322918494774084,,,,,,,,,,,,,,,,,,,,,,,,
1771278226.3299754,249635,30,0,0,860.0,40.0,440.0,18.0,82.0,12.0,1771278226.3074834,22.491931915283203,1,0,2.0273331561906383,2.239158769310606,-0.17784364390505397,0.6684684187753301,-0.4527954925796787,1.8271445498407595,,,,,,,,,,,,,,,,,,,,,,,,
1771278228.9300096,252235,30,0,0,860.0,40.0,440.0,18.0,82.0,12.0,1771278228.906623,23.386716842651367,1,0,2.044722344627747,2.256283210073233,-0.2441689705250458,0.679567125546865,-0.460814365341469,1.8575278001340432,,,,,,,,,,,,,,,,,,,,,,,,
1771278234.7617724,258067,30,24,0,916.8,153.7,430.5,163.6,84.7,168.9,1771278234.7527616,9.010791778564453,1,0,-1.7583805304753888,-1.8072915819021211,-1.3310190956402252,-0.32690181457463885,-0.5026875272357143,1.780423036958525,,,,,,,,,,,,,,,,,,,,,,,,
1771278237.3624089,260667,30,0,0,920.0,160.0,430.0,166.0,84.0,172.0,1771278237.3573632,5.045652389526367,1,0,2.073070570931967,2.0161861060899273,-0.5786272640386193,-0.31462684998774915,-0.5061180522459288,1.7684039642237088,,,,,,,,,,,,,,,,,,,,,,,,
1771278239.9665105,263271,30,24,0,920.0,122.2,430.0,161.9,85.3,166.5,1771278239.961881,4.629611968994141,1,0,-1.686354480944514,-1.4805331597706683,-0.17852312261522882,0.8716397549559807,-0.560272106071405,2.0141514171069956,,,,,,,,,,,,,,,,,,,,,,,,
1771278242.5703092,265875,30,24,0,920.0,59.6,430.0,146.2,87.4,148.4,1771278242.5675454,2.7637481689453125,1,0,2.1859251474746193,2.1836970494254886,-0.40461605261414435,0.7678798039698023,-0.5165373347734189,1.959726287859256,,,,,,,,,,,,,,,,,,,,,,,,
1771278247.4777646,270783,30,24,0,920.0,-58.1,430.0,34.6,87.4,32.5,1771278247.4717026,6.062030792236328,1,0,2.023194573852919,2.0365193039178093,-0.3019713457726924,0.6034573875300381,-0.46604299145969524,1.9211890248901848,,,,,,,,,,,,,,,,,,,,,,,,
1771278250.078365,273383,30,24,0,920.0,-120.6,430.0,18.3,85.4,13.8,1771278250.075678,2.6869773864746094,1,0,-1.7655837831415664,-1.9641508728120431,-1.115958485045951,-0.7235352680834923,-0.4639094175014994,1.9844593245474895,,,,,,,,,,,,,,,,,,,,,,,,
1771278252.6819801,275987,30,0,0,920.0,-160.0,430.0,14.0,84.0,8.0,1771278252.6484559,33.524274826049805,1,0,1.940691428318309,2.0050687540924343,-0.24893820666453886,0.4507773713951638,-0.4264624701872757,1.8396432773076203,,,,,,,,,,,,,,,,,,,,,,,,
1771278255.2857616,278591,30,24,0,917.1,-153.1,430.1,14.3,84.2,8.5,1771278255.2857616,0.0,1,0,-1.5646897120004963,-1.4390568849824157,-0.13918213859609765,0.45894952385832877,-0.431992008950275,1.847954396445584,,,,,,,,,,,,,,,,,,,,,,,,
1771278257.888984,281195,30,24,0,892.0,-95.8,430.0,18.9,85.9,14.5,1771278257.8547263,34.25765037536621,1,0,2.073507041435313,2.0097246942290896,-0.20026305281531243,0.5252266145532007,-0.463717532960991,1.8534275592127474,,,,,,,,,,,,,,,,,,,,,,,,
1771278260.4893098,283795,30,24,0,867.0,-38.7,430.1,29.6,87.5,26.6,1771278260.462475,26.834726333618164,1,0,2.033886278036584,1.8780674278998526,-0.18140671164140298,-0.5767459811672425,-0.48795579455862026,1.8310455953520859,,,,,,,,,,,,,,,,,,,,,,,,
1771278265.9858859,289291,30,24,0,814.1,82.2,430.0,147.4,88.2,147.5,1771278265.970803,15.082836151123047,1,0,-1.623937142013244,-1.4531677114415518,-0.052870430763830766,0.6951095166889961,-0.5497219807321834,1.754389450161935,,,,,,,,,,,,,,,,,,,,,,,,
1771278268.5899012,291895,30,24,0,789.0,139.4,430.0,165.2,86.6,166.6,1771278268.5732968,16.60442352294922,1,0,-1.7365290832944553,-1.7711559097713627,-1.4483092370266506,-0.30192680336831274,-0.5265798428489721,1.5640507560620112,,,,,,,,,,,,,,,,,,,,,,,,
1771278271.1936338,294499,30,0,0,780.0,160.0,430.0,168.0,86.0,170.0,1771278271.1816885,11.945247650146484,1,0,-2.0716115918350417,-2.1525693049659367,0.2346297408115762,0.790243164648196,-0.6145560695677483,1.7586688397136954,,,,,,,,,,,,,,,,,,,,,,,,
1771278273.916909,297223,30,24,0,780.0,132.7,430.0,165.6,86.6,167.3,1771278273.915912,0.9970664978027344,1,0,-1.6161014948151715,-1.4744348658604116,-0.10771585061598563,0.7394159246702833,-0.5907052252177855,1.7129350116561632,,,,,,,,,,,,,,,,,,,,,,,,
1771278276.5173883,299823,30,24,0,780.0,70.3,430.0,154.3,88.1,155.2,1771278276.4896922,27.69613265991211,1,0,-1.8516161830364297,-1.8868679910139126,-1.3974851270468225,-0.38833636438258945,-0.5470120025148637,1.6374278674507263,,,,,,,,,,,,,,,,,,,,,,,,
1771278282.1248922,305431,30,24,0,780.0,-64.3,430.0,28.1,88.2,27.3,1771278282.0971556,27.736663818359375,1,0,2.0732878588571957,1.9939226785105586,-0.20952322096313078,0.48227631720067865,-0.5080945647829391,1.592606310360804,,,,,,,,,,,,,,,,,,,,,,,,
1771278284.725897,308031,30,24,0,780.0,-126.7,430.0,15.0,86.8,13.5,1771278284.7017655,24.13153648376465,1,0,-1.5276296835437235,-1.3606859939126026,-0.18967616369316057,0.4107425038238972,-0.48849970053685854,1.5631030572057079,,,,,,,,,,,,,,,,,,,,,,,,
1771278287.3291082,310635,30,0,0,780.0,-160.0,430.0,12.0,86.0,10.0,1771278287.305893,23.215293884277344,1,0,2.0980960006455787,1.8979362780923723,0.018796175049579582,0.3862997539720271,-0.49840864541880253,1.6073250976346851,,,,,,,,,,,,,,,,,,,,,,,,
1771278289.9291222,313235,30,24,0,788.2,-149.6,429.4,15.4,86.7,14.0,1771278289.910031,19.091129302978516,1,0,-1.6266355800132726,-1.3954378033329604,-0.12474388234384969,0.40751407704202036,-0.5063805746010341,1.6479486670411831,,,,,,,,,,,,,,,,,,,,,,,,
1771278294.4696102,317775,30,24,0,856.2,-64.6,425.2,154.3,87.1,158.0,1771278294.4482677,21.34251594543457,1,0,-1.8350588272115518,-1.7817126252404853,-1.1820075303381747,-0.5814497631777432,-0.5292407815395742,1.8219098185413176,,,,,,,,,,,,,,,,,,,,,,,,
