pc_ts,ipoc,robot_x_mm,robot_y_mm,robot_z_mm,robot_a_deg,robot_b_deg,robot_c_deg,cam_ts,rvec_x,rvec_y,rvec_z,tvec_x_m,tvec_y_m,tvec_z_m
1771538512.7881718,5216940,850.0,40.0,460.0,0.0,90.0,0.0,1771538512.7549722,-0.01254466436504955,2.858771782321809,0.7330692312131495,-0.5356141734222484,0.009933048346515254,1.893104677209099
1771538515.391672,5219540,850.0,39.8,460.1,5.0,79.9,-2.4,1771538515.3595858,0.0909814585780197,2.8058306784806963,-0.4934161430845113,-0.5766846657130997,-0.08404879778986012,2.0986855693372135
1771538517.9952314,5222144,850.0,40.0,460.0,5.0,75.1,-5.9,1771538517.963883,-0.14129950432049945,3.0952751418898847,0.36538576405680134,0.7951976857880806,-0.13982606553875976,2.1277114476504915
1771538520.599102,5224748,850.0,40.0,460.0,5.0,75.0,-6.0,1771538520.5670364,-0.044111363679307916,2.8772009637390257,-0.5647526377105104,-0.5437859822043454,-0.1341826006370317,2.039345538447123
1771538523.199969,5227348,850.0,40.1,460.0,5.6,76.4,-4.4,1771538523.172335,-0.05959993310460304,2.827372375108959,-0.2892132592360802,-0.5634976117846976,-0.12433028703275271,2.090685177594397
1771538525.8069906,5229956,850.0,40.1,460.0,14.0,84.2,9.2,1771538525.7765224,0.12045188849487708,2.780541830593755,-0.4938410818828165,-0.5791669950447594,-0.049369524267142875,2.0547208625079243
1771538543.8045573,5247956,850.0,39.9,473.3,15.9,79.2,9.0,1771538543.7717865,0.05933146132092456,2.808023410093336,-0.4781210450696337,-0.5857674111524543,-0.08191593198720984,2.058932464547696
1771538546.4068613,5250556,850.0,39.9,478.2,9.1,68.8,-4.5,1771538546.3760245,-0.1734833856778644,2.963845586588133,-0.1762384813431449,-0.5868948579176181,-0.19406372043664613,2.2096200618243147
1771538549.0106742,5253160,850.0,40.0,480.0,8.0,65.0,-8.0,1771538548.9923792,0.25164094320744623,-2.4363244895493064,-0.1782227896509045,0.8489864146884138,-0.23381963499647812,2.196474664583539
1771538551.6144643,5255764,850.0,40.0,480.0,8.0,65.0,-8.0,1771538551.584981,0.25164094320744623,-2.4363244895493064,-0.1782227896509045,0.8489864146884138,-0.23381963499647812,2.196474664583539
1771538554.2181456,5258368,850.0,40.1,480.0,8.7,66.8,-6.1,1771538554.1877627,-0.21051983918642062,3.096497990197626,-0.1702760942740858,-0.5761727717885706,-0.21694538712178937,2.206199081085581
1771538556.8229666,5260972,850.0,40.1,480.0,14.0,74.9,4.5,1771538556.7946875,0.2617490959146481,-2.654828681596912,0.37632536218163426,0.8026672735547027,-0.13871803921794262,2.21496290701979
1771538578.5946133,5282744,850.0,39.9,462.4,27.9,82.0,22.8,1771538578.5624375,0.026092739408240785,2.725662524546709,-0.5612261389494035,-0.5873489315350706,-0.055816690377934866,2.01436091772313
1771538581.1978006,5285348,850.0,40.0,460.0,18.1,78.1,10.1,1771538581.167525,0.02929839657478117,2.802495727161239,-0.47734939242059793,-0.5990988344034579,-0.10525069036524287,2.103845169707941
1771538583.8021185,5287952,850.0,40.0,460.0,18.0,78.0,10.0,1771538583.7726014,0.24585551279665696,-2.705020076612889,0.2670659139050024,0.7541061970933186,-0.10886207762367102,2.120938298241447
1771538586.405871,5290556,850.0,40.1,460.0,20.5,79.4,13.5,1771538586.3766127,-0.03305879379146413,2.7860089210849526,-0.48727527257775705,-0.6013032750993367,-0.09275186110063091,2.0961412790182474
1771538604.369772,5308520,850.0,39.8,467.1,25.2,78.7,11.3,1771538604.336451,-0.13130385340374354,2.7911195864103178,-0.515243601594363,-0.5882002378579099,-0.09558391959280785,2.1223611146111407
1771538606.9739804,5311124,850.0,39.9,469.5,16.0,71.4,-5.5,1771538606.941488,0.5249278312070471,-2.740159981603938,0.19571009652238272,0.8680997806774918,-0.1782363148779707,2.2365595801949394
1771538609.5781033,5313728,850.0,40.0,470.0,15.0,70.0,-8.0,1771538609.545667,-0.29915652798959463,2.810904587444726,-0.5015277709104133,-0.5235753405017126,-0.1810412507940497,2.1112907773804976
1771538612.1814244,5316332,850.0,40.0,469.9,15.0,70.0,-7.9,1771538612.151057,0.4630928158258552,-2.744224000858643,0.18954735825245309,0.8952206228029924,-0.1966250650090071,2.2725979643037304
1771538614.7850497,5318936,850.0,40.1,470.0,18.3,73.3,-0.6,1771538614.7563195,0.4350023421472964,-2.6498048984360296,0.08575152650071226,0.8351861505291477,-0.16013096116666775,2.197969506546368
1771538617.3893187,5321540,850.0,40.2,470.0,37.5,81.2,29.2,1771538617.3572032,0.2710651617632645,-2.6513574419932406,0.3943454508309403,0.7169711177947324,-0.06573853655042804,2.0606833367929496
1771538637.1849964,5341336,850.0,40.0,460.8,14.5,84.2,25.6,1771538637.156938,0.4371499322117912,2.7566982248623715,-0.4437363506561438,-0.6491925858048996,-0.02609023957088228,2.09250350852358
1771538639.7880626,5343940,850.0,40.0,460.0,8.0,82.0,18.0,1771538639.7613301,-0.18817454899792152,-2.588222679361178,0.5124938313615022,0.6616220192782327,-0.05253258694880531,2.011008622892132
1771538642.3935611,5346544,850.0,40.0,460.0,8.0,82.0,18.0,1771538642.3642097,-0.18817454899792152,-2.588222679361178,0.5124938313615022,0.6616220192782327,-0.05253258694880531,2.011008622892132
1771538644.995762,5349148,850.0,39.9,460.0,11.7,84.5,18.5,1771538644.9690564,0.3028277675382863,2.76861463650396,-0.4553879543355183,-0.6146745778156422,-0.032940675841555855,2.0400005506236187
1771538660.1422858,5364296,850.0,40.1,466.5,16.8,82.3,16.4,1771538660.126663,0.18645535823230078,2.8661407458682757,-0.3831392327622712,-0.6042263822462687,-0.053149711434682875,2.0554327081951675
1771538662.7477899,5366900,850.0,40.0,469.5,10.5,75.1,14.8,1771538662.7321675,0.14091075567256348,3.038432937681965,0.11571643391152334,-0.6651639007049247,-0.11911117285929075,2.1565768225862403
1771538665.3521156,5369504,850.0,40.0,470.0,10.0,74.0,15.0,1771538665.3364935,-0.048993719332342096,-2.6286615809822567,0.13642423439757875,0.704539905902672,-0.13139159546174933,2.1345765119221625
1771538667.9563458,5372108,850.0,40.0,470.0,10.1,74.2,15.0,1771538667.9407241,0.14187517447491466,3.0378989160122276,0.11088004912775071,-0.6710300349530126,-0.12821444220905778,2.1572240099492292
1771538670.560459,5374712,850.0,39.9,470.0,14.7,78.9,18.1,1771538670.5445929,-0.010766139747336268,-2.5940676820557518,0.3093160997478144,0.6980177471621163,-0.08462357377784824,2.086619313553305
1771538701.9955773,5406156,905.8,119.8,446.1,168.9,82.8,171.1,1771538701.9955773,0.18562981130284764,-2.460584302963189,0.9160278151479787,0.5742846252011266,0.01996095620625246,1.927070944654144
1771538705.467051,5409624,915.4,133.6,441.9,168.4,84.3,171.8,1771538705.467051,0.3001499064195763,2.7578616068509256,-0.92697701683707,-0.6806524603096754,0.0027791949260785073,1.9569583419756709
1771538708.0677977,5412220,920.0,140.0,440.0,168.0,85.0,172.0,1771538708.0383942,0.1110525253847576,-2.408070089768993,0.7965790781424947,0.5674250287686714,-0.011226704582283727,1.986379480321478
1771538710.6721373,5414824,920.0,139.5,440.0,168.0,85.0,172.0,1771538710.641889,0.1646258864429054,2.883358429754013,-0.7494522623190358,-0.7444194631048892,-0.007511219900352826,2.114667994901059
1771538713.2725072,5417424,920.0,126.5,440.0,165.9,85.6,169.5,1771538713.2255485,0.24747762556238712,2.847791043615857,-0.7668444209811566,-0.7138447275189311,-0.01605658114014111,2.0695239018489904
1771538715.884102,5420036,920.0,113.4,440.0,163.4,86.2,166.6,1771538715.851651,0.2799338398980816,2.7611247049131626,-0.8904263655815023,-0.6849848716152422,-0.023274954890321508,2.0339166190222753
1771538718.487968,5422640,920.0,100.4,440.0,159.9,86.7,162.8,1771538718.4555545,0.10690966135425893,-2.5291596274737804,0.8801849443104601,0.6070280247969244,-0.03324899129685332,1.9608740737969033
1771538721.0920665,5425244,920.0,87.4,440.0,155.1,87.2,157.6,1771538721.0595994,0.2488497678088249,2.8443319993527045,-0.7061131558306935,-0.6773250852569253,-0.03957096676485332,2.106416406412745
1771538723.695446,5427848,920.0,74.3,440.0,148.1,87.7,150.2,1771538723.664305,0.1221918206156082,-2.5561794813271437,0.8318440189890086,0.6698351072703865,-0.04949859721377121,2.058891560337983
1771538726.2996693,5430452,920.0,61.3,440.0,137.2,88.2,139.0,1771538726.2684858,0.29754740125385476,2.7397140818486534,-0.8733192033181842,-0.6168771950569346,-0.05267021399794534,2.0139041783105016
1771538728.903975,5433056,920.0,48.3,440.0,120.3,88.6,121.7,1771538728.8714762,0.217114208262172,2.691312420038492,-0.7833085022299697,-0.6156658597526026,-0.05984922855898431,2.061272974386651
1771538731.5071673,5435660,920.0,35.3,440.0,96.2,88.7,97.2,1771538731.4767842,0.23413634395336266,2.679251793680262,-0.6086502544857466,-0.5942873839353944,-0.06832467798651741,2.0399789068153797
1771538734.1111374,5438264,920.0,22.3,440.0,71.0,88.6,71.7,1771538734.0798683,0.21023046988083072,2.7250721564996936,-0.8566366504064526,-0.5959346057035091,-0.07533312383859632,2.100450613449188
1771538736.7157679,5440868,920.0,9.2,440.0,52.0,88.3,52.2,1771538736.6855886,0.13149442600626943,-2.6021020139688082,0.7704142824190234,0.7485475972037428,-0.08239955916154375,2.0567224456362743
1771538739.319606,5443472,920.0,-3.8,440.0,39.8,87.9,39.7,1771538739.288198,0.12758952639695495,-2.6990270218576615,0.8281049362458767,0.7699554943978985,-0.09003529029230409,2.070637666893258
1771538741.9232988,5446076,920.0,-16.8,440.0,32.1,87.4,31.6,1771538741.892853,0.1299423071214451,-2.6075349505840806,0.5447965822944748,0.8326838245413071,-0.10228874219893556,2.19443677063529
1771538744.5271153,5448680,920.0,-29.8,440.0,26.8,86.8,26.0,1771538744.4968624,0.08746268956351173,-2.687929583722476,0.6609511563823414,0.8400683376419132,-0.10631060100301445,2.170279975168289
1771538747.1348076,5451288,920.0,-42.9,440.0,23.0,86.3,21.8,1771538747.1023064,0.1672402858051188,-2.6891147839851413,0.806568414584153,0.8415983574988289,-0.11104097901857941,2.129419065835429
1771538749.7390232,5453892,920.0,-55.9,440.0,20.3,85.7,18.7,1771538749.7066636,0.08476870072123013,-2.6982794244955826,0.6935262793106926,0.8597730666742789,-0.11681254251143622,2.1328980006793454
1771538752.3427544,5456496,920.0,-68.9,440.0,18.2,85.2,16.2,1771538752.311328,0.09737533030110367,-2.7414671342808106,0.5949526706058907,0.9375407941340338,-0.13038515047882604,2.28262748805563
1771538754.9474316,5459100,920.0,-81.9,440.0,16.5,84.6,14.2,1771538754.9150236,-0.177056714371466,-2.5299241217055983,-0.6812998169212257,0.9100015588003658,-0.12968752662698496,2.173991686709905
1771538757.5508537,5461704,920.0,-95.0,440.0,15.2,84.0,12.5,1771538757.5193698,0.061665533325315665,-2.7591171879574827,0.6335887709661214,0.9345439020997408,-0.13726520726787433,2.191258967195234
1771538760.1549118,5464308,920.0,-108.0,440.0,14.0,83.4,11.0,1771538760.1234643,0.09350720426189305,-2.779368490920838,0.7005369829390558,0.9519627831399065,-0.14115340286512243,2.188939831836141
1771538762.7587852,5466912,920.0,-121.0,440.0,13.1,82.9,9.7,1771538762.7277272,0.2483474953793325,2.653225785461601,-0.7279400634058478,-0.4093969685742939,-0.13619612466602263,2.05325889889903
1771538765.3630705,5469516,920.0,-134.0,440.0,12.3,82.3,8.5,1771538765.3322525,0.0785079656326444,-2.8865673737989623,0.5483439276032424,1.0199304910043765,-0.15739324804948132,2.265780205078443
1771538767.966408,5472120,920.0,-140.0,440.0,12.0,82.0,8.0,1771538767.9347756,0.04344459440554488,-2.8851431065853435,0.5344644837753585,1.0072093035351393,-0.1558314844718607,2.218115531350054
1771538770.5707695,5474724,917.5,-135.2,440.2,11.9,81.8,7.9,1771538770.5400417,0.07574099793545674,-2.891760473748226,0.523318557064975,0.9800585726456462,-0.1518575492104469,2.169619227321515
1771538773.1749024,5477328,905.7,-113.4,441.0,11.6,81.0,7.6,1771538773.145199,0.09909172383427262,-2.8310400766624784,0.5570753669086455,0.9405735590848524,-0.14534567739892204,2.140756367348634
1771538775.7782729,5479932,894.0,-91.6,441.9,11.3,80.1,7.3,1771538775.7495525,0.008229471438034429,-2.966647208500049,0.3342542169841129,0.9515350755765136,-0.1483168103737393,2.228226258287366
1771538778.3831375,5482536,882.3,-69.8,442.7,11.1,79.3,7.1,1771538778.3515842,-0.08344490506357746,-2.710319808783116,-0.42872052071081546,0.8898585342453509,-0.13819567806406455,2.1460154232861717
1771538780.9867053,5485140,870.5,-48.1,443.6,10.9,78.5,6.9,1771538780.9576023,0.11583148467442296,2.6987547492836526,-0.5863194410729151,-0.48830654971035037,-0.12719529527169776,2.056268436131771
1771538783.594956,5487748,858.8,-26.3,444.4,10.7,77.6,6.7,1771538783.5614371,0.05386582255868294,-2.8643519889446534,0.22304757888151563,0.8243526888727476,-0.12809041605974328,2.1166757088626897
1771538786.1987486,5490352,847.1,-4.5,445.2,10.6,76.8,6.6,1771538786.1661043,0.029331381380355744,-2.7700205924480366,-0.0062939932709343656,0.8156726701860605,-0.1263039259886827,2.163024460572993
1771538788.8030357,5492956,835.4,17.3,446.1,10.5,76.0,6.5,1771538788.7691789,0.056092616205512265,2.594518626508037,-0.05399849351580357,-0.566632038791189,-0.11490891650673993,2.0603862189492146
1771538791.406235,5495560,823.6,39.1,446.9,10.3,75.1,6.3,1771538791.3743346,0.05153766739480035,2.4609810879954783,-0.0134848037525999,-0.5693443967433104,-0.10519600122928188,1.9796308795712916
1771538794.0077257,5498152,812.0,60.7,447.8,10.2,74.3,6.2,1771538793.9771342,0.0013210316609364484,3.0506001996262397,0.12498499471498346,-0.6210843294445287,-0.1045408580669897,2.0700746530967256
