pc_ts,ipoc,robot_x_mm,robot_y_mm,robot_z_mm,robot_a_deg,robot_b_deg,robot_c_deg,cam_ts,rvec_x,rvec_y,rvec_z,tvec_x_m,tvec_y_m,tvec_z_m
1771540101.0909705,6805268,850.0,40.0,460.0,5.0,75.0,-6.0,1771540101.0819798,0.16054885403781868,-2.8261763542698093,1.0744239559375115,0.10021071247562241,0.2029331937293757,0.9454378784998484
1771540103.6910064,6807868,850.0,40.0,460.0,5.0,75.0,-6.0,1771540103.6780365,0.16054885403781868,-2.8261763542698093,1.0744239559375115,0.10021071247562241,0.2029331937293757,0.9454378784998484
1771540110.6307838,6814808,850.0,40.0,480.0,8.0,65.0,-8.0,1771540110.6118338,0.2525391990776599,-2.856585057181262,0.7793244099231933,0.12427590607642872,0.1326160024341554,0.9888488300737975
1771540113.2308302,6817408,850.0,40.0,480.0,8.0,65.0,-8.0,1771540113.2118812,0.27931078547243726,-2.8870130823109834,0.744610999718919,0.12509852362625515,0.13429643615903097,0.9973587759575909
1771540120.6749246,6824852,850.0,40.0,460.0,18.0,78.0,10.0,1771540120.6459997,0.11548854273286857,-2.8730619475815926,1.1376927132204013,0.066433321543125,0.2285354385297367,0.9344589702713278
1771540123.2780898,6827456,850.1,40.2,460.1,18.3,78.2,10.4,1771540123.2461631,0.11548854273286857,-2.8730619475815926,1.1376927132204013,0.066433321543125,0.2285354385297367,0.9344589702713278
1771540129.6660044,6833844,850.0,40.0,470.0,15.0,70.0,-8.0,1771540129.6460614,0.4427213269209699,-2.8242900969851488,0.8098930260238091,0.14067090210473818,0.1709771533165688,0.9781248430860782
1771540132.2660484,6836444,850.0,40.0,470.0,15.0,70.0,-8.0,1771540132.2450762,0.4427213269209699,-2.8242900969851488,0.8098930260238091,0.14067090210473818,0.1709771533165688,0.9781248430860782
1771540139.2863512,6843464,850.0,40.0,460.0,8.0,82.0,18.0,1771540139.2812946,0.3164432800702227,2.7808855203327747,-1.2148632572614235,0.020126464375780768,0.2718025180198952,0.9150109531948045
1771540141.886507,6846064,850.1,39.6,460.1,8.1,82.2,17.8,1771540141.882303,0.3309419003762717,2.7887831583645166,-1.243340351551834,0.020603923475367603,0.2721453167024173,0.9153594207521721
1771540147.7337215,6851912,850.0,40.0,470.0,10.0,74.0,15.0,1771540147.7117805,0.19825316229760864,2.8710683523566187,-1.0321680770038477,0.01681112025523084,0.21590633065575388,0.9577500947295267
1771540150.3337681,6854512,850.0,40.0,470.0,10.0,74.0,15.0,1771540150.3128242,0.19825316229760864,2.8710683523566187,-1.0321680770038477,0.01681112025523084,0.21590633065575388,0.9577500947295267
1771540158.2176843,6862396,912.9,130.0,443.0,168.5,83.9,171.6,1771540158.216687,0.14341187355114635,2.6991980706477436,-1.5939854329855578,-0.04409732388868659,0.31984142041197716,0.8968492308420148
1771540160.8177466,6864996,920.0,140.0,440.0,168.0,85.0,172.0,1771540160.8127441,0.16203091102639108,2.717729768057841,-1.5492059776768685,-0.0593471005282133,0.31041191235480975,0.9141094485335468
1771540166.4975417,6870676,920.0,-38.5,440.0,24.1,86.5,23.1,1771540166.4825811,-0.03642808917880838,-2.799450830719169,1.3619853813241152,0.13536886204422333,0.23518948487187122,0.9534711601657003
1771540169.0975883,6873276,919.9,-135.9,439.8,12.3,82.2,8.4,1771540169.0796366,0.012882411380450497,-2.8306025637083434,1.2737659894553672,0.24518480943757967,0.19840200410793277,0.9511443270490536
1771540171.6977413,6875876,920.0,-140.0,440.0,12.0,82.0,8.0,1771540171.6827807,-0.015171327993501871,-2.8551898545415635,1.1688639107192442,0.25779908793180323,0.20080386510979997,0.9723311875022843
1771540174.297788,6878476,885.8,-76.4,442.5,11.2,79.6,7.2,1771540174.282864,-0.0064549234585379875,-2.8772583243829923,1.1754429022925221,0.18701103296337593,0.20533884688482404,0.9474076111787759
1771540176.8978357,6881076,839.6,9.4,445.8,10.5,76.3,6.5,1771540176.882874,-0.009230920431688971,-2.9187277326334162,1.0691191419366917,0.09352456319454026,0.21799369181804445,0.9354972605813979
1771540179.4978814,6883676,793.4,95.2,449.1,10.1,73.0,6.1,1771540179.4819236,0.00169680038305106,-2.9533820103891815,0.9823387386958742,-0.0005561732402029948,0.2319837553615367,0.9236727075023202
1771540182.1011076,6886280,780.0,120.0,450.0,10.0,72.0,6.0,1771540182.0801978,0.0320123589097865,-2.963849614734254,0.9260894811749615,-0.029133287342134977,0.23791619291038085,0.922173631605294
1771540184.701267,6888880,780.0,73.3,450.0,16.4,78.7,13.9,1771540184.6823108,0.0033461329158184032,2.897989600836527,-1.1579015696481636,0.01082846966977011,0.28040896713515967,0.880976127590364
1771540204.9292455,6909108,783.1,40.2,463.5,-10.6,74.0,-1.9,1771540204.918231,0.3209249352584049,2.9253952078734238,-1.020946300390518,0.057694904878134154,0.2687241419917406,0.9166618364665488
1771540207.5292482,6911708,760.0,40.0,470.0,-8.0,68.0,5.0,1771540207.5182776,-0.4548004580168627,-3.038075206923865,-0.013335381296455525,0.03772472097864078,0.24983757562035042,0.9290386697772415
1771540210.1292949,6914308,806.8,39.8,464.7,-8.0,79.4,-1.8,1771540210.1183245,0.2609456853600563,2.8436317836567646,-1.179499472536037,0.05590962812225039,0.2799195350117309,0.9032292088448685
