X(mm), Y(mm), Z(mm), A(deg), B(deg) , C(deg)
950.34, 38.20, 459.05, 177.43, 89.16, -178.48
950.34, 38.20, 410.04, 177.43, 89.16, -178.48
937.77, -1.32, 407.14, -119.90, 82.92, -110.54
968.72, -38.47, 656.42, -50.63, 63.14, -44.86
977.77, 133.60, 582.08, -74.02, 59.65, -81.84
895.15, 186.95, 739.17, -55.80, 53.31, -61.79
866.61, -196.24, 548.26, -29.75, 84.90, 5.89
826.04, -281.48, 587.15, -100.07, 65.84, -59.42
863.63, 137.37, 754.10, -57.53, 57.50, -49.81
887.15, -54.55, 492.76, -90.56, 66.53, -64.04
890.99, -59.94, 419.52, -103.55, 50.77, -95.44
942.89, 14.78, 646.57, -68.15, 54.62, -78.48
903.23, 88.42, 525.88, -56.75, 72.59, -72.49
903.18, -179.83, 751.67, -18.81, 67.45, -8.51
850.47, -93.41, 672.66, -14.96, 62.76, -11.22
