pc_ts,ipoc,robot_x_mm,robot_y_mm,robot_z_mm,robot_a_deg,robot_b_deg,robot_c_deg,cam_ts,rvec_x,rvec_y,rvec_z,tvec_x_m,tvec_y_m,tvec_z_m
1774991404.486339,1866007,760.0,-410.0,460.0,5.0,75.0,-6.0,1774991404.4549875,2.4825585464061577,0.15501025594128995,-0.13587411410858685,0.1603030976636847,0.12281578183925528,1.1315651962783884
1774991408.4865897,1870007,760.0,-410.0,460.0,-5.0,85.0,6.0,1774991408.370175,2.289635244080785,-0.2815679615605174,0.07356535643395275,0.03507282889500836,0.23215025221408772,1.104657356184916
1774991412.4900892,1874011,760.0,-410.0,460.0,18.0,78.0,10.0,1774991412.4668462,2.422419583280439,0.12409291912473419,-0.04707510598799323,0.11467735647249336,0.1572320548781949,1.127527957078248
1774991416.4935982,1878015,760.0,-410.0,460.0,8.0,82.0,18.0,1774991416.3770359,2.342159271416597,-0.24795288442884994,0.10283818853592677,0.02151368198200265,0.20390514114881458,1.113954715741487
1774991420.9744945,1882495,760.0,-410.0,460.0,25.0,72.0,-12.0,1774991420.9674945,2.467461036824524,0.7152138270688975,-0.34515639837135653,0.2981081147052082,0.12414544525981844,1.0953389127714481
1774991425.5617168,1887083,760.0,-410.0,460.0,-15.0,80.0,-8.0,1774991425.5396245,2.3802978927198954,-0.22770570163263085,-0.0017852876519359568,0.07011271061286632,0.17886645440969565,1.1238915989002682
1774991441.053718,1902575,760.0,-410.0,440.0,10.0,88.0,5.0,1774991441.0527182,2.2557260095828733,0.038830980515020104,-0.07140369371973271,0.1195500682020178,0.23758116285951753,1.0811210470200485
1774991452.8048384,1914327,760.0,-410.0,470.0,10.0,74.0,15.0,1774991452.7773545,2.4771975172816765,-0.13691556514482583,0.09009890985249669,0.029290715562842472,0.12512166362827684,1.1392069509601324
1774991462.877232,1924399,830.0,-310.0,440.0,168.0,85.0,172.0,1774991462.8662288,2.1322337251122434,-0.12753832356484707,0.02437483894521974,-0.04947034108263271,0.2705060995019395,1.113564995651665
1774991470.296858,1931819,830.0,-590.0,440.0,12.0,82.0,8.0,1774991470.2294068,2.371164588889183,0.03250442087842714,-0.031455690483845965,0.31319971473349767,0.1258806262089976,1.1484430240709105
1774991477.5000975,1939023,830.0,-450.0,440.0,20.0,86.0,18.0,1774991477.4422407,2.289230913111185,-0.010072520844253093,-0.021482028078566154,0.14093108592179807,0.16716927150229707,1.1489374878156389
1774991482.252087,1943775,830.0,-380.0,440.0,155.0,88.0,158.0,1774991482.2166026,2.1834804804488774,-0.11042107339976326,0.014222413506733969,0.03503852915213551,0.23087849377972708,1.128384008357278
1774991488.0405986,1949563,830.0,-530.0,440.0,165.0,84.0,170.0,1774991487.9969666,2.1151374048034732,-0.13939853172462474,0.037073216279606976,0.19192972353816845,0.2610168822283123,1.1256092221503156
1774991493.6716497,1955195,712.6,-362.3,448.4,11.7,75.8,9.2,1774991493.6292298,2.4385271678750233,-0.003248193998833185,0.002058833923168271,0.04371798841819366,0.17547515116642068,1.0958836971007748
1774991497.671889,1959195,690.0,-331.1,450.1,10.0,72.1,6.0,1774991497.6648896,2.5321789800214423,0.03742402408199842,-0.013238881916127742,-0.0004672927253013506,0.14880794516924845,1.087560720975198
1774991509.9794781,1971503,690.0,-450.0,450.0,22.0,78.0,20.0,1774991509.9318523,2.414348760841995,0.016421159868951447,0.03938784057342723,0.11209219806551513,0.21616189791626647,1.0652115158163116
1774991513.9870203,1975511,670.0,-410.0,470.0,-8.0,68.0,5.0,1774991513.9860198,2.579845061680339,-0.3511165353830581,0.08865819952713265,0.032896536621765386,0.1492282545422795,1.096948855145751
1774991535.0551052,1996579,740.0,-370.0,450.0,8.0,76.0,-5.0,1774991535.0065887,2.4596637258419727,0.20179490330699704,-0.14257670787410814,0.11783862268052978,0.13973056282368723,1.1119157967161937
1774991541.986456,2003511,710.0,-530.0,455.0,15.0,78.0,10.0,1774991541.9578757,2.4277596196531572,0.060901599238531105,-0.03008347901765169,0.23314210271298502,0.20216883555093265,1.0807311383505644
1774991556.306448,2017831,790.0,-550.0,435.0,30.0,84.0,25.0,1774991556.2914467,2.318215053444891,0.06271431029083431,-0.02431473453160573,0.2598918359557844,0.18523067169534962,1.1088081733440855
1774991560.3100777,2021835,757.9,-421.1,459.2,-9.3,73.0,-8.6,1774991560.264744,2.5010721209854223,-0.09656264101696758,-0.08718246471232709,0.1427895504006353,0.11545020081652418,1.1450424663767658
1774991564.3107145,2025835,747.2,-395.6,464.4,-10.3,71.3,-9.1,1774991564.297705,2.559756029138986,-0.1531718091267095,-0.10099166010923154,0.08615510154983543,0.08643192458718071,1.138656446585167
1774991568.3139029,2029839,720.0,-450.0,460.0,35.0,82.0,28.0,1774991568.2894254,2.338354237281054,0.11570222220927011,-0.015407320998326826,0.13744251244811748,0.24264363922555673,1.0796398739815258
