start_time: 1770156297.1621053
time_s,ipoc,x,y,z,a,b,c,override,vel,rpm
0.000000,10836811,696.70,-58.80,669.50,112.00,89.90,116.20,50,0,150
0.006981,10836815,696.70,-58.80,669.50,112.00,89.90,116.20,50,0,150
0.007978,10836819,696.70,-58.80,669.50,112.00,89.90,116.10,50,0,150
0.011968,10836823,696.70,-58.80,669.50,112.00,89.90,116.10,50,0,150
0.015957,10836827,696.70,-58.80,669.50,112.00,89.90,116.20,50,0,150
0.019947,10836831,696.70,-58.80,669.50,112.00,89.90,116.10,50,0,150
0.023936,10836835,696.70,-58.80,669.50,111.90,89.90,116.00,50,0,150
0.027926,10836839,696.70,-58.80,669.50,112.10,89.90,116.20,50,0,150
0.031915,10836843,696.70,-58.80,669.50,112.30,89.90,116.40,50,0,150
0.035906,10836847,696.70,-58.80,669.50,112.60,89.90,116.80,50,0,150
0.039894,10836851,696.70,-58.80,669.50,113.60,89.90,117.70,50,0,150
0.043883,10836855,696.70,-58.70,669.50,115.30,89.90,119.50,50,0,150
0.047872,10836859,696.80,-58.70,669.40,117.60,89.90,121.70,50,0,150
0.051861,10836863,696.80,-58.60,669.40,119.80,89.90,124.00,50,0,150
0.055851,10836867,696.80,-58.60,669.30,122.60,89.90,126.80,50,0,150
0.063829,10836871,696.90,-58.50,669.20,125.30,89.90,129.40,50,0,150
0.064827,10836875,696.90,-58.40,669.10,127.60,89.90,131.70,50,0,150
0.067818,10836879,697.00,-58.40,669.00,129.60,89.90,133.70,50,0,150
0.071808,10836883,697.00,-58.30,668.90,131.00,89.90,135.10,50,0,150
0.075797,10836887,697.10,-58.20,668.80,131.10,89.90,135.20,50,0,150
0.089760,10836891,697.20,-58.00,668.70,129.90,89.90,134.00,50,0,150
0.089760,10836895,697.40,-57.90,668.50,129.40,89.90,133.50,50,0,150
0.089760,10836899,697.50,-57.80,668.40,129.00,89.80,133.10,50,0,150
0.091754,10836903,697.70,-57.60,668.20,127.70,89.80,131.70,50,0,150
0.095744,10836907,697.90,-57.50,668.00,126.80,89.80,130.80,50,0,150
0.099733,10836911,698.00,-57.30,667.90,127.30,89.80,131.40,50,0,150
0.103722,10836915,698.30,-57.20,667.70,126.60,89.80,130.60,50,0,150
0.107712,10836919,698.50,-57.00,667.50,125.00,89.80,129.00,50,0,150
0.111701,10836923,698.80,-56.80,667.30,123.10,89.80,127.10,50,0,150
0.115690,10836927,699.10,-56.70,667.10,120.90,89.80,124.80,50,0,150
0.119679,10836931,699.40,-56.50,666.90,118.70,89.80,122.70,50,0,150
0.123669,10836935,699.70,-56.30,666.70,116.70,89.80,120.60,50,0,150
0.127660,10836939,700.10,-56.10,666.40,114.40,89.80,118.30,50,0,150
0.131647,10836943,700.40,-55.90,666.20,111.70,89.80,115.70,50,0,150
0.135637,10836947,700.80,-55.70,666.00,108.70,89.80,112.60,50,0,150
0.139626,10836951,701.20,-55.40,665.70,105.90,89.80,109.80,50,0,150
0.143617,10836955,701.60,-55.20,665.50,103.30,89.80,107.20,50,0,150
0.147605,10836959,702.00,-54.90,665.20,100.80,89.80,104.60,50,0,150
0.151594,10836963,702.50,-54.70,664.90,98.20,89.80,102.00,50,0,150
