Point_ID,Angle_deg,X,Y,Z,A,B,C
0,0.0,850.0,0.0,650.0,0,90,0
1,7.5,849.144,13.053,650.0,0,90,0
2,15.0,846.593,25.882,650.0,0,90,0
3,22.5,842.388,38.268,650.0,0,90,0
4,30.0,836.603,50.0,650.0,0,90,0
5,37.5,829.335,60.876,650.0,0,90,0
6,45.0,820.711,70.711,650.0,0,90,0
7,52.5,810.876,79.335,650.0,0,90,0
8,60.0,800.0,86.603,650.0,0,90,0
9,67.5,788.268,92.388,650.0,0,90,0
10,75.0,775.882,96.593,650.0,0,90,0
11,82.5,763.053,99.144,650.0,0,90,0
12,90.0,750.0,100.0,650.0,0,90,0
13,97.5,736.947,99.144,650.0,0,90,0
14,105.0,724.118,96.593,650.0,0,90,0
15,112.5,711.732,92.388,650.0,0,90,0
16,120.0,700.0,86.603,650.0,0,90,0
17,127.5,689.124,79.335,650.0,0,90,0
18,135.0,679.289,70.711,650.0,0,90,0
19,142.5,670.665,60.876,650.0,0,90,0
20,150.0,663.397,50.0,650.0,0,90,0
21,157.5,657.612,38.268,650.0,0,90,0
22,165.0,653.407,25.882,650.0,0,90,0
23,172.5,650.856,13.053,650.0,0,90,0
24,180.0,650.0,0.0,650.0,0,90,0
25,187.5,650.856,-13.053,650.0,0,90,0
26,195.0,653.407,-25.882,650.0,0,90,0
27,202.5,657.612,-38.268,650.0,0,90,0
28,210.0,663.397,-50.0,650.0,0,90,0
29,217.5,670.665,-60.876,650.0,0,90,0
30,225.0,679.289,-70.711,650.0,0,90,0
31,232.5,689.124,-79.335,650.0,0,90,0
32,240.0,700.0,-86.603,650.0,0,90,0
33,247.5,711.732,-92.388,650.0,0,90,0
34,255.0,724.118,-96.593,650.0,0,90,0
35,262.5,736.947,-99.144,650.0,0,90,0
36,270.0,750.0,-100.0,650.0,0,90,0
37,277.5,763.053,-99.144,650.0,0,90,0
38,285.0,775.882,-96.593,650.0,0,90,0
39,292.5,788.268,-92.388,650.0,0,90,0
40,300.0,800.0,-86.603,650.0,0,90,0
41,307.5,810.876,-79.335,650.0,0,90,0
42,315.0,820.711,-70.711,650.0,0,90,0
43,322.5,829.335,-60.876,650.0,0,90,0
44,330.0,836.603,-50.0,650.0,0,90,0
45,337.5,842.388,-38.268,650.0,0,90,0
46,345.0,846.593,-25.882,650.0,0,90,0
47,352.5,849.144,-13.053,650.0,0,90,0
